Date,Company,GSVI,GSVI_lag1,AGSVI,R,R_lag1,Volatility,Volume_lag1,Volume,Mkt_RF,SMB,HML,RMW,CMA
25-02-2019,JD,63,17,0.060624622,-0.001188415,0.003365085,1.13238E-05,25697200,6935500,0.35,-0.27,-0.45,-0.17,-0.36
25-02-2019,KDP,9,41,0.050010421,-0.02357039,0.037566257,0.001411224,8871700,60533300,0.02,-0.48,-2.72,-0.29,-0.8
25-02-2019,KHC,7,60,0,-0.075532058,0.000500136,2.50136E-07,25468200,94790700,-0.02,-0.02,-0.03,0,0
25-02-2019,KLAC,63,13,-0.526093096,0.060311973,-0.016943346,0.000287077,28960800,10386200,-1.29,0.19,0.94,-0.77,0.37
25-02-2019,LRCX,12,35,-0.182321557,-0.041060444,0.002430546,5.90755E-06,5776100,135723600,-1.22,-0.87,1.93,0.51,1.25
25-02-2019,LULU,5,64,0.081345639,0.009782265,0.043837239,0.001921704,7721400,64007200,0,0,-0.01,0,-0.01
25-02-2019,MAR,83,0,0,0.033468861,0,0,155142800,31639700,0.9,0.82,-1.01,-0.23,-0.44
25-02-2019,MCHP,56,54,0,-0.037886977,0.030813289,0.000949459,6805000,3520900,0.03,0.02,0.06,-0.02,0.02
25-02-2019,MDLZ,69,40,-0.048790164,-0.020939391,0.010595415,0.000112263,159824000,37530700,-0.41,0.13,-0.16,-0.09,-0.29
25-02-2019,MELI,64,62,0.049596941,-0.177390748,0.000802342,6.43753E-07,6710100,2793300,-3.31,0.29,0.27,-0.3,0.27
25-02-2019,MNST,65,36,-0.386772975,-0.000971593,0.027765883,0.000770944,382778100,52162400,1.56,-0.62,-0.16,0.52,-0.04
25-02-2019,MRVL,54,67,0,0.065843737,0.084894497,0.007207076,27215000,1478800,0.8,1.12,1.63,-0.21,0.45
25-02-2019,MSFT,59,62,0.342944751,0.006991244,-0.016966814,0.000287873,121950800,23926900,1.27,-0.7,-0.4,0.81,0
25-02-2019,MTCH,38,64,0,0.042980243,-0.035769307,0.001279443,11626700,2480500,1.11,0.8,-0.66,-1.44,-0.75
25-02-2019,MU,21,0,0,0.006921609,0,0,7909600,8046700,0.9,0.82,-1.01,-0.23,-0.44
25-02-2019,NFLX,14,24,0,-0.069091205,-0.075480029,0.005697235,27477600,184062800,0.03,0.02,0.06,-0.02,0.02
25-02-2019,NTES,23,28,-0.133531393,0.018402771,-0.017099515,0.000292393,7919600,7055100,-0.41,0.13,-0.16,-0.09,-0.29
25-02-2019,NVDA,11,38,0.546543706,-0.085136647,0.014661307,0.000214954,23797000,152781200,-3.31,0.29,0.27,-0.3,0.27
25-02-2019,NXPI,25,19,-0.351397887,-0.005830953,0.043755262,0.001914523,13884000,16788500,1.56,-0.62,-0.16,0.52,-0.04
25-02-2019,OKTA,17,48,0.405465108,0.013169575,-0.015861758,0.000251595,25099900,140084400,0.8,1.12,1.63,-0.21,0.45
25-02-2019,ORLY,41,42,0.182321557,0.014348397,-0.017770125,0.000315777,5530000,7442400,1.27,-0.7,-0.4,0.81,0
25-02-2019,PAYX,9,57,0.258861634,0.083819623,0.030633547,0.000938414,9991400,110230800,1.11,0.8,-0.66,-1.44,-0.75
25-02-2019,PCAR,61,11,2.397895273,0.005171395,0.04952408,0.002452634,3624400,43856300,-0.54,-0.36,0.76,-0.1,0.17
25-02-2019,PEP,34,27,0.037740328,0.057189703,-0.001570177,2.46546E-06,18238500,1813600,0.11,0.54,-1.33,-0.47,-0.67
25-02-2019,PYPL,63,28,0,0.044768176,0.008970982,8.04785E-05,30338600,3386800,0.02,-0.37,-0.37,0.05,-0.36
25-02-2019,QCOM,12,78,0.52806743,0.064848976,0.128876677,0.016609198,6621100,4262100,-1.55,0.44,-1.14,-1.49,-0.8
25-02-2019,REGN,17,55,-0.1198012,0.033212393,0.015697264,0.000246404,39228900,23673700,1.66,0.54,0.73,0.12,0.16
25-02-2019,ROST,34,39,0.052643733,-0.048441465,-0.062268893,0.003877415,3656100,47388800,2.58,0.67,-0.34,-0.24,-0.1
25-02-2019,SBUX,31,69,-0.042559614,0.003254897,0.008266218,6.83304E-05,4527200,16303700,-0.15,-0.17,-0.41,0.05,-0.48
25-02-2019,SGEN,60,0,0,0.022127097,0,0,29967100,16412000,0.9,0.82,-1.01,-0.23,-0.44
25-02-2019,SIRI,89,25,-0.113328685,-0.001182629,-0.03560291,0.001267567,5365400,30704600,0.03,0.02,0.06,-0.02,0.02
25-02-2019,SNPS,56,19,0.171850257,0.019553708,0.005528787,3.05675E-05,33204200,17271300,-0.41,0.13,-0.16,-0.09,-0.29
25-02-2019,SPLK,94,33,0,-0.107831008,-0.021739966,0.000472626,12626200,24461300,-3.31,0.29,0.27,-0.3,0.27
25-02-2019,SWKS,63,36,-0.054067221,0.009762594,0.007670178,5.88316E-05,64598300,41253800,1.56,-0.62,-0.16,0.52,-0.04
25-02-2019,TEAM,64,30,0,0.016865545,0.015059791,0.000226797,7316900,41282900,0.8,1.12,1.63,-0.21,0.45
25-02-2019,TMUS,53,25,-0.246860078,0.01075277,0.037189122,0.001383031,21216300,28113300,1.27,-0.7,-0.4,0.81,0
25-02-2019,TSLA,78,23,-0.16034265,0.00426556,-0.018411038,0.000338966,9167100,19370800,1.11,0.8,-0.66,-1.44,-0.75
25-02-2019,TXN,29,62,4.127134385,0.032412436,0.01828961,0.00033451,2558900,3362000,-0.54,-0.36,0.76,-0.1,0.17
25-02-2019,VRSK,41,25,0.040821995,-0.00228526,0.011478957,0.000131766,5307500,25233500,0.11,0.54,-1.33,-0.47,-0.67
25-02-2019,VRSN,36,56,0.018018506,0.006386649,0.013063387,0.000170652,11458100,19446500,0.02,-0.37,-0.37,0.05,-0.36
25-02-2019,VRTX,59,42,-0.232622295,0.01042521,0.068302331,0.004665208,7856400,2313300,-1.55,0.44,-1.14,-1.49,-0.8
25-02-2019,WBA,70,29,-0.098440073,-0.027904586,0.010457872,0.000109367,3629100,6812200,1.66,0.54,0.73,0.12,0.16
25-02-2019,WDAY,51,34,0.348306694,-0.033848061,-0.119639374,0.01431358,27933800,10328100,2.58,0.67,-0.34,-0.24,-0.1
25-02-2019,XEL,19,46,0.245122458,0.013872787,0.013889724,0.000192924,10811700,7463700,-0.15,-0.17,-0.41,0.05,-0.48
04-03-2019,AAPL,28,0,0,0.045684358,0,0,13941200,6082000,0.9,0.82,-1.01,-0.23,-0.44
